scenario,partition_id,partition,lambda,safe,first_violation,event_count,peak_prefill,peak_decode,minimum_link_headroom_mb_s,peak_memory_gb
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0165,False,network,60,1,6,-107.014876,32.45566
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.017,False,network,60,1,6,-107.014876,32.45566
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0175,False,network,59,1,6,-106.895125,32.45566
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.018,False,network,26,1,6,-115.647505,32.44894
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0185,False,network,26,1,6,-115.647505,32.44894
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.019,False,network,26,1,6,-115.647505,32.44222
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0195,False,network,26,1,6,-115.647505,32.4355
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.02,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0205,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.021,False,network,25,1,6,-115.537242,32.4355
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.0215,False,network,24,1,6,-115.421618,32.4355
homogeneous_control,random_05,10-5-14-10-7-10-12-12,0.022,False,network,24,1,6,-115.421618,32.4355
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.006,True,,204,1,4,584.631518,30.4049
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0065,True,,204,1,5,358.41104,30.74186
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.007,True,,204,1,5,358.516848,30.73562
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0075,True,,204,1,6,119.685981,31.56671
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.008,True,,204,1,6,119.797075,31.56047
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0085,True,,204,1,6,120.032956,31.54799
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.009,True,,204,1,6,119.830963,31.56047
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0095,False,network,166,1,6,-134.718641,31.55423
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.01,False,network,116,1,6,-104.795979,30.36005
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0105,False,network,116,1,6,-104.795979,30.34757
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.011,False,network,104,1,6,-112.032912,30.46613
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0115,False,network,102,1,6,-111.79799,30.46613
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.012,False,network,101,1,6,-111.677362,30.46613
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0125,False,network,74,1,6,-107.115817,30.45989
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.013,False,network,74,1,6,-107.115817,30.45989
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0135,False,network,73,1,6,-106.992345,30.45989
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.014,False,network,73,1,6,-106.992345,30.45989
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0145,False,network,71,1,6,-106.760412,30.57221
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.015,False,network,68,1,6,-106.429294,30.56597
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0155,False,network,68,1,6,-106.429294,30.56597
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.016,False,network,68,1,6,-106.429294,30.56597
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0165,False,network,60,1,6,-107.014876,30.56597
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.017,False,network,60,1,6,-107.014876,30.56597
homogeneous_control,random_06,8-13-10-11-12-10-6-10,0.0175,False,network,59,1,6,-106.895125,30.56597
