condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
expanded_20_seed,11,prefill_constrained,1.0,-1,0.929688,0.933594,9,2.259326,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,0,1.160156,1.164062,11,2.523104,True,False,True
expanded_20_seed,11,prefill_constrained,1.0,1,0.890625,0.894531,9,1.986602,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,2,0.714844,0.71875,9,1.863675,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,3,0.566406,0.570312,9,1.301465,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,4,0.472656,0.476562,8,1.111087,True,False,False
expanded_20_seed,12,decode_constrained,1.0,-4,0.074219,0.078125,8,0.213089,True,False,True
expanded_20_seed,12,decode_constrained,1.0,-3,0.042969,0.046875,8,0.215215,True,False,False
expanded_20_seed,12,decode_constrained,1.0,-2,0.042969,0.046875,8,0.184836,True,False,False
expanded_20_seed,12,decode_constrained,1.0,-1,0.042969,0.046875,8,0.159508,True,False,False
expanded_20_seed,12,decode_constrained,1.0,0,0.039062,0.042969,8,0.150302,True,False,False
expanded_20_seed,12,decode_constrained,1.0,1,0.027344,0.03125,8,0.133526,True,False,False
expanded_20_seed,12,decode_constrained,1.0,2,0.027344,0.03125,8,0.134868,True,False,False
expanded_20_seed,12,decode_constrained,1.0,3,0.023438,0.027344,8,0.134919,True,False,False
expanded_20_seed,12,decode_constrained,1.0,4,0.003906,0.007812,8,0.066262,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,-4,0.472656,0.476562,8,1.069556,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,-3,0.472656,0.476562,8,1.080648,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,-2,0.503906,0.507812,9,1.423246,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,-1,0.492188,0.496094,8,1.177637,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,0,0.53125,0.535156,9,1.506246,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,1,0.539062,0.542969,9,1.585012,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,2,0.527344,0.53125,9,1.564684,True,False,False
expanded_20_seed,12,prefill_constrained,1.0,3,0.546875,0.550781,9,1.457411,True,False,True
expanded_20_seed,12,prefill_constrained,1.0,4,0.441406,0.445312,8,1.141332,True,False,False
expanded_20_seed,13,decode_constrained,1.0,-4,0.0625,0.066406,8,0.118685,True,False,True
expanded_20_seed,13,decode_constrained,1.0,-3,0.03125,0.035156,8,0.126888,True,False,False
expanded_20_seed,13,decode_constrained,1.0,-2,0.027344,0.03125,8,0.163243,True,False,False
expanded_20_seed,13,decode_constrained,1.0,-1,0.027344,0.03125,8,0.16403,True,False,False
expanded_20_seed,13,decode_constrained,1.0,0,0.027344,0.03125,8,0.167431,True,False,False
expanded_20_seed,13,decode_constrained,1.0,1,0.011719,0.015625,8,0.110971,True,False,False
expanded_20_seed,13,decode_constrained,1.0,2,0.011719,0.015625,8,0.111397,True,False,False
expanded_20_seed,13,decode_constrained,1.0,3,0.011719,0.015625,8,0.10928,True,False,False
expanded_20_seed,13,decode_constrained,1.0,4,0.003906,0.007812,8,0.065065,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,-4,0.292969,0.296875,8,0.611666,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,-3,0.316406,0.320312,8,0.529279,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,-2,0.316406,0.320312,8,0.558887,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,-1,0.3125,0.316406,8,0.463025,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,0,0.3125,0.316406,8,0.476996,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,1,0.339844,0.34375,8,0.795886,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,2,0.339844,0.34375,8,0.807644,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,3,0.339844,0.34375,8,0.818799,True,False,False
expanded_20_seed,13,prefill_constrained,1.0,4,0.347656,0.351562,8,0.749203,True,False,True
expanded_20_seed,14,decode_constrained,1.0,-4,0.039062,0.042969,8,0.133582,True,False,True
expanded_20_seed,14,decode_constrained,1.0,-3,0.039062,0.042969,8,0.134421,True,False,True
expanded_20_seed,14,decode_constrained,1.0,-2,0.023438,0.027344,8,0.117132,True,False,False
expanded_20_seed,14,decode_constrained,1.0,-1,0.023438,0.027344,8,0.121574,True,False,False
expanded_20_seed,14,decode_constrained,1.0,0,0.023438,0.027344,8,0.117293,True,False,False
expanded_20_seed,14,decode_constrained,1.0,1,0.015625,0.019531,8,0.083859,True,False,False
expanded_20_seed,14,decode_constrained,1.0,2,0.011719,0.015625,8,0.095807,True,False,False
expanded_20_seed,14,decode_constrained,1.0,3,0.011719,0.015625,8,0.103457,True,False,False
expanded_20_seed,14,decode_constrained,1.0,4,0.003906,0.007812,8,0.064687,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,-4,0.496094,0.5,8,1.072001,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,-3,0.65625,0.660156,9,0.973293,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,-2,0.871094,0.875,9,2.038382,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,-1,0.890625,0.894531,9,2.185663,True,False,True
expanded_20_seed,14,prefill_constrained,1.0,0,0.871094,0.875,9,2.320576,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,1,0.851562,0.855469,9,2.256715,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,2,0.792969,0.796875,9,1.826924,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,3,0.570312,0.574219,9,1.009769,True,False,False
expanded_20_seed,14,prefill_constrained,1.0,4,0.414062,0.417969,8,0.837161,True,False,False
expanded_20_seed,15,decode_constrained,1.0,-4,0.046875,0.050781,8,0.162413,True,False,True
expanded_20_seed,15,decode_constrained,1.0,-3,0.046875,0.050781,8,0.146028,True,False,True
expanded_20_seed,15,decode_constrained,1.0,-2,0.035156,0.039062,8,0.140109,True,False,False
expanded_20_seed,15,decode_constrained,1.0,-1,0.035156,0.039062,8,0.137546,True,False,False
expanded_20_seed,15,decode_constrained,1.0,0,0.035156,0.039062,8,0.139248,True,False,False
expanded_20_seed,15,decode_constrained,1.0,1,0.015625,0.019531,8,0.081243,True,False,False
expanded_20_seed,15,decode_constrained,1.0,2,0.015625,0.019531,8,0.08624,True,False,False
expanded_20_seed,15,decode_constrained,1.0,3,0.015625,0.019531,8,0.080895,True,False,False
expanded_20_seed,15,decode_constrained,1.0,4,0.003906,0.007812,8,0.079252,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,-4,0.355469,0.359375,8,0.770954,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,-3,0.386719,0.390625,8,0.767006,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,-2,0.382812,0.386719,8,0.656156,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,-1,0.371094,0.375,8,0.912929,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,0,0.402344,0.40625,8,0.897933,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,1,0.398438,0.402344,8,0.800793,True,False,False
expanded_20_seed,15,prefill_constrained,1.0,2,0.390625,0.394531,8,0.687866,True,False,False
