condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
expanded_20_seed,13,prefill_constrained,1.0,4,9,coarse_top3,4,"-4,-2,0,2,4,3,1,-3,-1",9,0.347656,0.3125,-2,0.316406,0.347656,4,1.0,0.0,11.24992,True,True,True,True,72,72,0.0,5.811385,5.811385
expanded_20_seed,14,decode_constrained,1.0,4,9,coarse_top1,-3,"-4,-2,0,2,4,-3",6,0.039062,0.023438,-2,0.023438,0.039062,"-4,-3",1.0,0.0,66.660978,True,True,True,True,48,72,33.333333,0.662922,0.971812
expanded_20_seed,14,decode_constrained,1.0,4,9,coarse_top2,-3,"-4,-2,0,2,4,-3,-1,1",8,0.039062,0.023438,-2,0.023438,0.039062,"-4,-3",1.0,0.0,66.660978,True,True,True,True,64,72,11.111111,0.868355,0.971812
expanded_20_seed,14,decode_constrained,1.0,4,9,coarse_top3,-3,"-4,-2,0,2,4,-3,-1,1",8,0.039062,0.023438,-2,0.023438,0.039062,"-4,-3",1.0,0.0,66.660978,True,True,True,True,64,72,11.111111,0.868355,0.971812
expanded_20_seed,14,prefill_constrained,1.0,4,9,coarse_top1,-1,"-4,-2,0,2,4,-1,1",7,0.890625,0.871094,-2,0.871094,0.890625,-1,1.0,0.0,2.242123,True,True,True,True,61,79,22.78481,12.537422,14.520483
expanded_20_seed,14,prefill_constrained,1.0,4,9,coarse_top2,-1,"-4,-2,0,2,4,-1,1,-3",8,0.890625,0.871094,-2,0.871094,0.890625,-1,1.0,0.0,2.242123,True,True,True,True,70,79,11.392405,13.510714,14.520483
expanded_20_seed,14,prefill_constrained,1.0,4,9,coarse_top3,-1,"-4,-2,0,2,4,-1,1,-3,3",9,0.890625,0.871094,-2,0.871094,0.890625,-1,1.0,0.0,2.242123,True,True,True,True,79,79,0.0,14.520483,14.520483
expanded_20_seed,15,decode_constrained,1.0,4,9,coarse_top1,-3,"-4,-2,0,2,4,-3",6,0.046875,0.035156,-2,0.035156,0.046875,"-4,-3",1.0,0.0,33.334281,True,True,True,True,48,72,33.333333,0.753291,1.052975
expanded_20_seed,15,decode_constrained,1.0,4,9,coarse_top2,-3,"-4,-2,0,2,4,-3,-1,1",8,0.046875,0.035156,-2,0.035156,0.046875,"-4,-3",1.0,0.0,33.334281,True,True,True,True,64,72,11.111111,0.97208,1.052975
expanded_20_seed,15,decode_constrained,1.0,4,9,coarse_top3,-3,"-4,-2,0,2,4,-3,-1,1",8,0.046875,0.035156,-2,0.035156,0.046875,"-4,-3",1.0,0.0,33.334281,True,True,True,True,64,72,11.111111,0.97208,1.052975
expanded_20_seed,15,prefill_constrained,1.0,4,9,coarse_top1,3,"-4,-2,0,2,4,3",6,0.425781,0.402344,-2,0.382812,0.425781,3,1.0,0.0,5.825115,True,True,True,True,48,72,33.333333,4.985643,7.466371
expanded_20_seed,15,prefill_constrained,1.0,4,9,coarse_top2,3,"-4,-2,0,2,4,3,-1,1",8,0.425781,0.402344,-2,0.382812,0.425781,3,1.0,0.0,5.825115,True,True,True,True,64,72,11.111111,6.699366,7.466371
expanded_20_seed,15,prefill_constrained,1.0,4,9,coarse_top3,3,"-4,-2,0,2,4,3,-1,1",8,0.425781,0.402344,-2,0.382812,0.425781,3,1.0,0.0,5.825115,True,True,True,True,64,72,11.111111,6.699366,7.466371
expanded_20_seed,16,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.046875,0.03125,-2,0.03125,0.046875,-4,1.0,0.0,50.0,True,True,True,True,48,72,33.333333,0.810934,1.193803
expanded_20_seed,16,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.046875,0.03125,-2,0.03125,0.046875,-4,1.0,0.0,50.0,True,True,True,True,64,72,11.111111,1.072081,1.193803
expanded_20_seed,16,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.046875,0.03125,-2,0.03125,0.046875,-4,1.0,0.0,50.0,True,True,True,True,64,72,11.111111,1.072081,1.193803
expanded_20_seed,16,prefill_constrained,1.0,4,9,coarse_top1,-2,"-4,-2,0,2,4,-3,-1",7,0.699219,0.671875,-2,0.699219,0.710938,1,0.983516,1.648386,4.069805,False,True,True,True,63,81,22.222222,8.87372,11.994669
expanded_20_seed,16,prefill_constrained,1.0,4,9,coarse_top2,1,"-4,-2,0,2,4,-3,-1,1,3",9,0.710938,0.671875,-2,0.699219,0.710938,1,1.0,0.0,5.814028,True,True,True,True,81,81,0.0,11.994669,11.994669
expanded_20_seed,16,prefill_constrained,1.0,4,9,coarse_top3,1,"-4,-2,0,2,4,-3,-1,1,3",9,0.710938,0.671875,-2,0.699219,0.710938,1,1.0,0.0,5.814028,True,True,True,True,81,81,0.0,11.994669,11.994669
expanded_20_seed,17,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.050781,0.03125,-2,0.03125,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,48,72,33.333333,0.67986,0.9363
expanded_20_seed,17,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.050781,0.03125,-2,0.03125,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,64,72,11.111111,0.863335,0.9363
expanded_20_seed,17,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.050781,0.03125,-2,0.03125,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,64,72,11.111111,0.863335,0.9363
